"alim_grp_code","alim_grp_nom_fr","alim_grp_nom_eng","alim_ssgrp_code","alim_ssgrp_nom_fr","alim_ssgrp_nom_eng","alim_ssssgrp_code","alim_ssssgrp_nom_fr","alim_ssssgrp_nom_eng"
" 01 "," entrées et plats composés "," starters and dishes "," 0101 "," salades composées et crudités "," mixed salads "," 000000 "," - "," - "
" 01 "," entrées et plats composés "," starters and dishes "," 0102 "," soupes "," soup "," 000000 "," - "," - "
" 01 "," entrées et plats composés "," starters and dishes "," 0103 "," plats composés "," dishes "," 010301 "," plats de viande sans garniture "," meat dishes, no garnish "
" 01 "," entrées et plats composés "," starters and dishes "," 0103 "," plats composés "," dishes "," 010302 "," plats de viande et féculents "," meat dishes, with starchy food "
" 01 "," entrées et plats composés "," starters and dishes "," 0103 "," plats composés "," dishes "," 010303 "," plats de viande et légumes/légumineuses "," meat dishes, with vegetables/legume "
" 01 "," entrées et plats composés "," starters and dishes "," 0103 "," plats composés "," dishes "," 010304 "," plats de poisson sans garniture "," fish dishes, no garnish "
" 01 "," entrées et plats composés "," starters and dishes "," 0103 "," plats composés "," dishes "," 010305 "," plats de poisson et féculents "," fish dishes, with starchy food "
" 01 "," entrées et plats composés "," starters and dishes "," 0103 "," plats composés "," dishes "," 010306 "," plats de légumes/légumineuses "," vegetable/legume dishes "
" 01 "," entrées et plats composés "," starters and dishes "," 0103 "," plats composés "," dishes "," 010307 "," plats de céréales/pâtes "," pasta or cereal dishes "
" 01 "," entrées et plats composés "," starters and dishes "," 0103 "," plats composés "," dishes "," 010308 "," plats de fromage "," cheese dishes "
" 01 "," entrées et plats composés "," starters and dishes "," 0104 "," pizzas, tartes et crêpes salées "," pizzas, crepe and pies "," 000000 "," - "," - "
" 01 "," entrées et plats composés "," starters and dishes "," 0105 "," sandwichs "," sandwiches "," 000000 "," - "," - "
" 01 "," entrées et plats composés "," starters and dishes "," 0106 "," feuilletées et autres entrées "," savoury pastries and other starters "," 000000 "," - "," - "
" 02 "," fruits, légumes, légumineuses et oléagineux "," fruits, vegetables, legumes and nuts "," 0201 "," légumes "," vegetables "," 020101 "," légumes crus "," vegetables, raw "
" 02 "," fruits, légumes, légumineuses et oléagineux "," fruits, vegetables, legumes and nuts "," 0201 "," légumes "," vegetables "," 020102 "," légumes cuits "," vegetables, cooked "
" 02 "," fruits, légumes, légumineuses et oléagineux "," fruits, vegetables, legumes and nuts "," 0201 "," légumes "," vegetables "," 020103 "," légumes séchés ou déshydratés "," vegetables, dried or dehydrated "
" 02 "," fruits, légumes, légumineuses et oléagineux "," fruits, vegetables, legumes and nuts "," 0202 "," pommes de terre et autres tubercules "," potatoes and other tubers "," 000000 "," - "," - "
" 02 "," fruits, légumes, légumineuses et oléagineux "," fruits, vegetables, legumes and nuts "," 0203 "," légumineuses "," legumes "," 020301 "," légumineuses cuites "," legumes, cooked "
" 02 "," fruits, légumes, légumineuses et oléagineux "," fruits, vegetables, legumes and nuts "," 0203 "," légumineuses "," legumes "," 020302 "," légumineuses fraîches "," legumes, raw "
" 02 "," fruits, légumes, légumineuses et oléagineux "," fruits, vegetables, legumes and nuts "," 0203 "," légumineuses "," legumes "," 020303 "," légumineuses sèches "," legumes, dried "
" 02 "," fruits, légumes, légumineuses et oléagineux "," fruits, vegetables, legumes and nuts "," 0204 "," fruits "," fruits "," 020401 "," fruits crus "," fresh fruits "
